"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","56731","test_job_lifecycle","tests","2026-02-23","passed","2026-02-23","TestJobActions","test_job_actions","",""
"","0","test_edit_paygrade","tests","2026-02-18","broken","2026-02-18","TestPayGrades","test_paygrades","",""
"","8089","test_delete_job_title","tests","2026-02-25","passed","2026-02-25","TestJob","test_job_actions","",""
"","20213","test_add_user","tests","2026-02-18","broken","2026-02-18","TestUsers","test_users","",""
"","45466","test_bulk_delete_job_titles","tests","2026-02-25","passed","2026-02-25","TestJob","test_job_actions","",""
"","46265","test_delete_user","tests","2026-02-18","broken","2026-02-18","TestUsers","test_users","",""
"","0","test_delete_job_category","tests","2026-02-18","broken","2026-02-18","TestJobCategories","test_job_categories","",""
"","0","test_add_paygrade","tests","2026-02-18","broken","2026-02-18","TestPayGrades","test_paygrades","",""
"","4928","test_add_job_title_empty","tests","2026-02-25","passed","2026-02-25","TestJob","test_job_actions","",""
"","0","test_paygrade_lifecycle","tests","2026-02-23","broken","2026-02-23","TestPayGrades","test_paygrades","",""
"","7307","test_cancel_add_job","tests","2026-02-25","passed","2026-02-25","TestJob","test_job_actions","",""
"","10620","test_upload_invalid_file_format","tests","2026-02-25","passed","2026-02-25","TestJob","test_job_actions","",""
"","60356","test_add_job_category","tests","2026-02-18","broken","2026-02-18","TestJobCategories","test_job_categories","",""
"","25868","test_add_job_title","tests","2026-02-25","passed","2026-02-25","TestJob","test_job_actions","",""
"","69914","test_edit_user","tests","2026-02-18","broken","2026-02-18","TestUsers","test_users","",""
"","0","test_edit_job_category","tests","2026-02-18","broken","2026-02-18","TestJobCategories","test_job_categories","",""
"","17131","test_add_job_title_duplicate","tests","2026-02-25","passed","2026-02-25","TestJob","test_job_actions","",""
"","0","test_delete_paygrade","tests","2026-02-18","broken","2026-02-18","TestPayGrades","test_paygrades","",""
"","13305","test_edit_job_title","tests","2026-02-25","passed","2026-02-25","TestJob","test_job_actions","",""
"","6014","test_search_user","tests","2026-02-18","passed","2026-02-18","TestUsers","test_users","",""
"","15572","test_upload_job_specification","tests","2026-02-25","passed","2026-02-25","TestJob","test_job_actions","",""
